PCA 1,PCA 2,Cluster
-0.20192227304265897,-0.005547321212053939,1
-0.27758496949697675,0.00889896674912443,1
-0.2145139295946177,0.10454283331382558,1
-0.20130637091266265,0.16704649283191575,1
-0.06387691143267214,0.17656950635194796,1
-0.18677691527091214,0.09698549249547954,1
-0.21884255450833875,0.02375101299642455,1
-0.2950967552223701,-0.10316942837311446,0
-0.12928200876862278,-0.244794269008327,1
0.003962779380995708,-0.3260611522183644,1
0.07802711508675615,-0.3214847762545682,1
-0.12484607284068909,-0.13885846805160912,1
-0.29781790338339587,0.11390245734385558,1
-0.5112524493393759,0.3272060372526367,1
-0.8418315890300243,0.3577144379105127,0
-1.307730113685838,0.4482696329208389,0
-1.6273523767207192,0.4646098013600087,0
-1.6318482094990248,0.45592889613155324,0
-1.6281034379124764,0.4482803793808178,0
-1.6307060968482718,0.43889830363272486,0
-1.5798918548090024,0.4393420692170272,0
-1.5883083207934934,0.40663214271758275,0
-1.5885119938122834,0.3750186852868437,0
-1.5817869462880783,0.46426819812710396,0
-1.5920479267314465,0.5779061187551721,0
-1.5728683473361966,0.6357771893699731,0
-1.465705363113647,0.5393275531176691,0
-1.3653495314280968,0.4412621571402669,0
-1.1511603017271745,0.17235290630654923,0
-0.9831922102038918,0.10739351039941021,0
-0.7663420798849641,-0.015326243550361295,0
-0.5477552665678667,-0.15189729915847391,0
-0.3395729747677544,-0.3108220819225865,0
-0.22346168533788516,-0.411236070706426,0
-0.1070298042857601,-0.4239596368715298,0
-0.07551819699026124,-0.36166197347084056,1
-0.11923253834292681,-0.28237513884850113,1
-0.11025932915974077,-0.17067712120033549,1
-0.3805749561926406,-0.13825960288652558,0
-0.6427091245155674,-0.02757359441443777,0
-0.8324566689927813,-0.0024562879548514667,0
-0.7415826914319689,-0.06893929489294141,0
-0.6577514610521629,-0.13597748968376894,0
-0.5034050365622462,-0.20178171583227683,0
-0.6298184132154544,-0.1445234763620218,0
-0.7473820245487173,-0.08854035701579463,0
-0.8719578501577213,-0.031855126883206485,0
-1.0296790634326625,-0.0006134564176369934,0
-1.1487331817381399,0.09282743895483392,0
-1.3045890325697238,0.12343201949175127,0
-1.276985661996805,0.1649412932322367,0
-1.2888772769023835,0.143262612893226,0
-1.1782194911666555,0.06861085181187247,0
-0.8671974168350002,-0.0788892659535427,0
-0.5849121224410045,-0.28514017639702066,0
-0.22908179602934514,-0.47940371233783985,0
-0.23109564183400055,-0.6182772908793388,0
-0.22419349511181405,-0.6363283836539247,0
-0.2669120252072449,-0.5970076031723587,0
-0.21773611524273254,-0.5242275724957882,0
-0.18283650723991293,-0.43037768145167615,0
-0.1417293660952108,-0.26436998040013965,1
-0.4499041679801876,-0.3014242208364744,0
-0.7791926226040498,-0.11661273654471743,0
-1.0167056617973553,-0.06716650912264317,0
-1.13892612210015,-0.055037046412432414,0
-1.262163776752278,-0.04232596316161848,0
-1.3333385105978608,0.00179664197264846,0
-1.379133055732868,0.0923639018126815,0
-1.41744005263044,0.18373551684163184,0
-1.4632345977654475,0.27430277668166486,0
-1.512613879216557,0.3068851358534184,0
-1.5552486010974151,0.3416943447993093,0
-1.6046278825485247,0.37427670397106283,0
-1.618345618561365,0.3765127832042911,0
-1.7018468808307852,0.3783863074487485,0
-1.6292291571822157,0.2757784510956534,0
-1.433636237375769,0.14537313867763202,0
-1.1599852314767942,0.0065056407257595246,0
-0.8933427479904689,-0.22127354338146116,0
-0.7719364804728062,-0.25677031706788905,0
-0.6730729418617878,-0.27382150748947154,0
-0.6857668159641468,-0.22515038877811672,0
-0.5677015887516241,-0.15224185657183503,0
-0.5234838717926036,-0.09090486062101331,0
-0.4192610471072158,0.0013638440555748617,0
-0.5294104273662433,-0.049774997813894384,0
-0.66860111982833,0.01567377177130743,0
-0.7138901825021635,-0.022768019553427,0
-0.877470284426641,-0.02394003896092041,0
-1.0408853354636431,-0.02567750245036557,0
-1.2026000749447636,-0.027486611786511145,0
-1.1453027594688718,0.006328521430465511,0
-1.1494169446859868,0.03951963848635491,0
-1.1431653556673074,0.04134162927927533,0
-1.145508102252791,0.04829927587491399,0
-1.1415166684368139,0.055211206064633735,0
-1.0928136885650859,0.09416199508432846,0
-1.063396033365966,0.003553906153035607,0
-1.0012827403869675,-0.02299424011943095,0
-0.8592605025274115,-0.2691207987418277,0
-0.6573427252418692,-0.41539256272869196,0
-0.4112956435181778,-0.6305588996030809,0
-0.12199956741849868,-1.002425530717066,0
0.2133824863584079,-1.2643179354810439,2
0.5508986935599409,-1.5215938792982464,2
0.8123178463864485,-1.6808563915304395,2
0.7291534139838994,-1.4841551509782918,2
0.6362680865210633,-1.2559752963260273,2
0.5130148043170697,-1.105435430416642,2
-0.4604624648769376,-1.0553546551232265,0
-1.431431428601782,-0.8451374755873299,0
-2.5316376769667164,-0.8472388779097447,0
-2.7671684346936174,-0.8768958329562293,0
-3.04479620939617,-0.9383823558016687,0
-3.3313726935802834,-1.0000324532722096,0
-3.0139673412925996,-0.9993420569632773,0
-2.6794708667821783,-1.0286827942089387,0
-2.349638794022602,-1.0593067595344807,0
-2.169094298365939,-0.9506102744521742,0
-1.9353386656955796,-0.8408907245592023,0
-1.752928807595559,-0.7328313294055483,0
-1.4763198485180222,-0.5867937195304785,0
-1.20881883151992,-0.4395617540394892,0
-0.7503932771462727,-0.545843476207056,0
-0.4873589828009543,-0.7028099592573032,0
-0.25160016397634627,-0.9208509200460124,0
0.03474682348939109,-1.1959313985649846,0
0.24484715727422887,-1.4255394541054847,2
0.45018333237603914,-1.6352683142591995,2
0.5790946134414245,-1.7493524249065129,2
0.6041260283071022,-1.344413401004244,2
0.3228004339896329,-1.3945482517377858,2
0.24428614470179158,-1.2280210118785473,2
-0.38543265701709234,-1.213082621533561,0
-1.2155983389833647,-1.0178722101443374,0
-1.7895520119664765,-1.0638654701934613,0
-1.8974375969559882,-1.0096467901651391,0
-1.9723684892759752,-0.8933441903817415,0
-2.0889500698506644,-0.8090853285762488,0
-2.024184337140648,-0.7458861969056233,0
-1.9136167016670669,-0.4763949247885627,0
-1.8199395217711973,-0.32547708027197286,0
-1.6630011860122722,-0.4588901568801914,0
-1.5928813555403534,-0.7551068910236473,0
-1.5843678800221919,-1.1527997351150367,0
-1.21688608215529,-1.0566564032967103,0
-0.9136258978542356,-0.9620382332276388,0
-0.36180227977700496,-0.6752647233387251,0
